test_date,district,tests_combined,cases_combined,tests_nontraveller,cases_nontraveller
2020-04-07,Gazipur,1,1,1,1
2020-04-07,Gopalganj,3,0,3,0
2020-04-07,Habiganj,39,0,39,0
2020-04-07,Jamalpur,18,0,18,0
2020-04-07,KISHOREGANJ,1,1,1,1
2020-04-07,Kushtia,1,0,1,0
2020-04-07,Lalmonirhat,1,0,1,0
2020-04-07,Madaripur,1,1,1,1
2020-04-07,Manikganj,3,3,3,3
2020-04-07,Meherpur,9,0,9,0
2020-04-07,Moulvibazar,25,0,25,0
2020-04-07,Mymensingh,18,0,18,0
2020-04-07,Narayanganj,13,13,13,13
2020-04-07,Narsingdi,1,1,1,1
2020-04-07,Netrakona,8,0,8,0
2020-04-07,Nilphamari,1,1,1,1
2020-04-07,Rangpur,2,1,2,1
2020-04-07,Shariatpur,1,1,1,1
2020-04-07,Sherpur,4,0,4,0
2020-04-07,Sunamganj,69,0,68,0
2020-04-07,Sylhet,18,0,18,0
2020-04-07,Tangail,2,1,2,1
2020-04-08,Bagerhat,3,0,3,0
2020-04-08,Bandarban,5,0,5,0
2020-04-08,BARISHAL,1,0,1,0
2020-04-08,Bhola,1,0,1,0
2020-04-08,Chandpur,2,0,2,0
2020-04-08,CHATTOGRAM,7,5,7,5
2020-04-08,COXS BAZAR,10,0,10,0
2020-04-08,CUMILLA,1,1,1,1
2020-04-08,Dhaka,175,80,175,80
2020-04-08,Dinajpur,1,0,1,0
2020-04-08,Gaibandha,2,0,2,0
2020-04-08,Gazipur,8,7,8,7
2020-04-08,Gopalganj,7,2,7,2
2020-04-08,Habiganj,1,0,1,0
2020-04-08,Jamalpur,14,1,14,1
2020-04-08,JASHORE,1,0,1,0
2020-04-08,Jhalokati,1,0,1,0
2020-04-08,Khulna,4,0,4,0
2020-04-08,KISHOREGANJ,1,1,1,1
2020-04-08,Madaripur,5,0,5,0
2020-04-08,Manikganj,2,2,2,2
2020-04-08,Meherpur,10,0,10,0
2020-04-08,Moulvibazar,7,0,7,0
2020-04-08,Mymensingh,8,2,8,2
2020-04-08,Narayanganj,12,12,12,12
2020-04-08,Narsingdi,4,4,4,4
2020-04-08,Netrakona,1,1,1,1
2020-04-08,Nilphamari,1,1,1,1
2020-04-08,Panchagarh,2,0,2,0
2020-04-08,Patuakhali,1,1,1,1
2020-04-08,Rajbari,1,0,1,0
2020-04-08,Rangpur,4,1,4,1
2020-04-08,Shariatpur,2,0,2,0
2020-04-08,Sherpur,11,0,10,0
2020-04-08,Sunamganj,23,0,23,0
2020-04-08,Sylhet,3,1,3,1
2020-04-08,Tangail,3,3,3,3
2020-04-09,Bagerhat,8,0,8,0
2020-04-09,Bandarban,4,0,4,0
2020-04-09,BOGURA,1,1,1,1
2020-04-09,Chandpur,1,1,1,1
2020-04-09,CHATTOGRAM,3,2,2,2
2020-04-09,Chuadanga,8,0,8,0
2020-04-09,COXS BAZAR,17,0,17,0
2020-04-09,CUMILLA,4,0,4,0
2020-04-09,Dhaka,103,44,103,44
2020-04-09,Dinajpur,1,1,1,1
2020-04-09,Faridpur,1,1,1,1
2020-04-09,Feni,1,0,1,0
2020-04-09,Gazipur,10,8,10,8
2020-04-09,Habiganj,3,1,3,1
2020-04-09,Jamalpur,15,1,15,1
2020-04-09,JASHORE,1,0,1,0
2020-04-09,Khulna,14,0,14,0
2020-04-09,KISHOREGANJ,5,5,5,5
2020-04-09,Kurigram,3,0,3,0
2020-04-09,Lakshmipur,1,1,1,1
2020-04-09,Moulvibazar,10,3,10,3
2020-04-09,Munshiganj,1,0,1,0
2020-04-09,Mymensingh,17,1,17,1
2020-04-09,Narail,1,0,1,0
2020-04-09,Narayanganj,31,31,31,31
2020-04-09,Narsingdi,7,7,7,7
2020-04-09,Netrakona,5,0,5,0
2020-04-09,Pabna,1,1,1,1
2020-04-09,Rajshahi,1,1,1,1
2020-04-09,Rangpur,6,0,6,0
2020-04-09,Satkhira,1,0,1,0
2020-04-09,Sherpur,12,2,12,2
2020-04-09,Sunamganj,48,0,48,0
2020-04-09,Sylhet,25,0,25,0
2020-04-09,Tangail,1,1,1,1
2020-04-10,Bandarban,4,0,4,0
2020-04-10,Brahmanbaria,1,1,1,1
2020-04-10,Chuadanga,1,0,1,0
2020-04-10,COXS BAZAR,26,5,26,5
2020-04-10,CUMILLA,2,2,2,2
2020-04-10,Dhaka,44,44,44,44
2020-04-10,Dinajpur,1,0,1,0
2020-04-10,Gazipur,2,2,2,2
