days_sim,susceptible_sim,active_sim,recovered_sim,deaths_sim,confirmed_sim,beta,gamma,mu,r0,re,cfr_recovered_sim,cfr_confirmed_sim
2020-08-09,17452975.78984178,102721.9200178016,140992.36187207475,3309.928268344311,247024.21015822067,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4566391377822292,2.293746180412975,1.339920595727957
2020-08-10,17452069.131733038,103006.13049867349,141592.28672304013,3332.4510452480426,247930.86826696168,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4565634673807069,2.299435621940615,1.3441049388250428
2020-08-11,17451160.012588266,103291.07997233741,142193.87130646626,3355.03613292933,248839.987411733,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4564875915791742,2.3050919391657523,1.3482704961634866
2020-08-12,17450248.426276933,103576.7700925393,142797.1199371518,3377.6836933771965,249751.5737230683,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.456411509865973,2.3107153965567284,1.352417381410565
2020-08-13,17449334.366656322,103863.20251518798,143402.03693954647,3400.393888943007,250665.63334367744,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4563352217284264,2.316306255797437,1.3565457073570453
2020-08-14,17448417.827571545,104150.37889834879,144008.6266477639,3423.1668823409364,251582.1724284536,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4562587266528433,2.321864775823909,1.3606555859256826
2020-08-15,17447498.80285552,104438.30090223599,144616.8934055946,3446.0028366484426,252501.19714447903,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4561820241245143,2.32739121286031,1.3647471281796217
2020-08-16,17446577.286328968,104726.97018920616,145226.841566518,3468.90191530673,253422.71367103088,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.456105113627711,2.3328858204543956,1.368820444330703
2020-08-17,17445653.271800414,105016.38842375105,145838.47549371462,3491.8642821212434,254346.7281995869,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4560279946456889,2.3383488495124185,1.372875643747681
2020-08-18,17444726.753066167,105306.5572724906,146451.79956007953,3514.8901012620913,255273.24693383218,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4559506666606825,2.343780548333434,1.3769128349643174
2020-08-19,17443797.723910335,105597.47840416555,147066.81814823367,3537.9795372645467,256202.2760896638,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4558731291539089,2.349181162643147,1.38093212568742
2020-08-20,17442866.178104803,105889.15348963047,147683.535650537,3561.1327550295036,257133.82189519698,0.008939253279235797,0.005832296531167053,0.00021895994706095772,1.4772557255503205,1.4557953816055644,2.3545509356271874,1.384933622804765
