days_sim,susceptible_sim,active_sim,recovered_sim,deaths_sim,confirmed_sim,beta,gamma,mu,r0,re,cfr_recovered_sim,cfr_confirmed_sim
2021-02-19,51007838.85570425,672492.5188351474,1292727.6933624086,26940.932098193007,1992161.144295749,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4576179130635898,2.0414922033014054,1.3523470315307713
2021-02-20,50989119.15625711,678367.2183422039,1305314.1160454834,27199.50935520253,2010880.8437428898,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4570829723593088,2.041218103644055,1.3526166624858575
2021-02-21,50970242.982420236,684286.2475671796,1318010.42586345,27460.34414913388,2029757.0175797634,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4565435601879257,2.0409469132411586,1.3528882477705126
2021-02-22,50951209.28271187,690249.8129634266,1330817.4508338089,27723.453490896343,2048790.7172881318,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4559996465019278,2.0406785988293032,1.353161806960562
2021-02-23,50932017.00324539,696258.1194768213,1343736.02280763,27988.854470156548,2067982.996754608,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4554512011850815,2.0404131275727058,1.3534373596920717
2021-02-24,50912665.08781794,702311.3704863996,1356766.9774409102,28256.564254750094,2087334.9121820598,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4548981940549628,2.04015046705676,1.353714925661413
2021-02-25,50893152.47800099,708409.7677441174,1369911.1541648211,28526.6000900703,2106847.521999009,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.454340594865547,2.0398905852816953,1.3539945246252956
2021-02-26,50873478.113233,714553.5113137392,1383169.3961548244,28798.97929843375,2126521.8867669976,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4537783733098542,2.039633450656354,1.3542761764007767
2021-02-27,50853640.93091409,720742.7995088417,1396542.5502986438,29073.719278422224,2146359.0690859077,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4532114990226581,2.03937903199207,1.3545599008652431
2021-02-28,50833639.86650279,726977.8288299431,1410031.4671630664,29350.837504200725,2166360.13349721,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4526399415832472,2.0391272984966684,1.3548457179563642
2021-03-01,50813473.85361487,733258.7939007507,1423637.0009595712,29630.35152481133,2186526.1463851333,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4520636705182512,2.0388782197685646,1.355133647672021
2021-03-02,50793141.824124284,739585.88740352,1437360.009508757,29912.278963442357,2206858.175875719,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.451482655304526,2.038631765790969,1.3554237100702065
2021-03-03,50772642.70826623,745959.3000135358,1451201.354203562,30196.63751667282,2227357.2917337706,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4508968653720964,2.038387906926198,1.3557159252689008
2021-03-04,50751975.43474235,752379.2203327091,1465161.899971252,30483.444953691345,2248024.5652576527,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4503062701071643,2.0381466139100715,1.3560103134459096
2021-03-05,50731138.93082807,758845.8348222877,1479242.515234153,30772.719115489803,2268861.06917193,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.449710838855176,2.0379078578464465,1.3563068948386943
2021-03-06,50710132.12248214,765359.3277346814,1493444.0718691468,31064.4779140307,2289867.877517859,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4491105409239515,2.0376716102017816,1.3566056897441423
2021-03-07,50688953.934458345,771919.8810444059,1507767.4451658567,31358.739331388555,2311046.065541651,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.448505345586877,2.0374378427998656,1.3569067185183459
2021-03-08,50667603.29041942,778527.674378145,1522213.513783566,31655.521418864606,2332396.709580576,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4478952220861614,2.0372065278165916,1.3572100015763215
2021-03-09,50646079.11305319,785182.8849439264,1536783.1597068082,31954.84229607445,2353920.886946809,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4472801396361534,2.0369776377748345,1.3575155593917174
2021-03-10,50624380.324190944,791885.687459419,1551477.2681996312,32256.720150008583,2375619.6758090593,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4466600674267256,2.0367511455394296,1.3578234124964883
2021-03-11,50602505.84492805,798636.2540793603,1566296.7277585228,32561.173234065154,2397494.155071948,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4460349746267203,2.036527024312219,1.3581335814805355
2021-03-12,50580454.595746875,805434.7543220959,1581242.4300639718,32868.21986705492,2419545.4042531224,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4454048303874627,2.036305247627195,1.3584460869913226
2021-03-13,50558225.49664192,812281.3549952506,1596315.2699306556,33177.87843217774,2441774.5033580842,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.444769603846336,2.0360857893457154,1.3587609497334585
2021-03-14,50535817.46724726,819176.2201205386,1611516.1452562264,33490.16737597075,2464182.5327527355,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4441292641304249,2.035868623651825,1.3590781904682572
2021-03-15,50513229.42696638,826119.5108576945,1626845.9569686989,33805.10520722718,2486770.5730336206,0.02880432618335448,0.01863559687803141,0.00038285235168023955,1.5145465245586271,1.4434837803602232,2.0356537250476245,1.3593978300132532
